"","X","publisher","journal","role","editor","affiliation","url","date"
"2260",2260,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Ken H. Young","Professor,
The University of Texas MD Anderson Cancer Center,
Department of Hematopathology,
1515 Holcombe,
Houston, TX,
USA","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2261",2261,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Michelle Alonso-Basanta","MD, PhD,
Helene Blum Assistant Professor,
Associate Chief of Clinical Operations,
Chief, Central Nervous System Section,
Department of Radiation Oncology,
University of Pennsylvania,
3400 Civic Center Boulevard - TRC 2 West,
Philadelphia, PA 19104,
USA","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2262",2262,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Michael E. Cohen","President,
Medical School Faculty Council,
State University of New York at Buffalo,
USA","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2263",2263,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","William G. North","Director/ Teacher Graduate and Post-doctoral Bioethics,
Professor of Physiology,
Dartmouth Medical School, Hanover, NH,
USA","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2264",2264,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Kishore Polireddy","Postdoctoral research fellow,
University of Texas Health Science Center,
Houston, TX,
USA","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2265",2265,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","David X. Liu","Associate Professor, Principle Investigator,
Department of Pharmaceutical Sciences,
Washington State University College of Pharmacy,
USA","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2266",2266,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Krishna Chaitanya Reddy Nalleballe","Assistant Professor,
Department of Neurology,
Albert Einstein School of Medicine,
Bronx NY,
USA","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2267",2267,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Jianrong Sheng","Department of Neurology,
University of Chicago,
USA","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2268",2268,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","David Fortin","Director of the level for multidisciplinary neuro-oncology, Surgery,
UniversitÃ© de Sherbrooke,
Canada","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2269",2269,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Paola Cassoni","Vice President of the degree in Medicine and Surgery,
School of Medicine,
University of Turin,
Italy","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2270",2270,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Marc-Eric Halatsch","Vice Chair,
Professor of Neurosurgery and Senior Attending Neurosurgeon
University of Ulm School of Medicine
Ulm, Germany","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2271",2271,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Antonella Calogero","Associate Professor, Pathology,
University of Rome Sapienza,
Department of Medical Surgical Sciences and Biotechnology,
Italy","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2272",2272,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Paula Y. P. Lam","National Cancer Centre,
Dept. Cellular and Mol. Biology,
Singapore, 169610","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2273",2273,"iMedPub","Journal of Neuro-Oncology and Neuroscience","Editorial Board Member","Lai Siang Hui","MBBS, DMJ(Path), FRCPath,
Senior Consultant, Department of Pathology, Singapore General Hospital,
Programme Director (Pathology), SingHealth Residency,
Associate Professor, Duke-NUS Graduate Medical School, Singapore","https://j-neurooncology.imedpub.com/editors.php","2021-05-19"
"2274",2274,"iMedPub","Journal of Neuropsychiatry","Editor-in-Chief","Hassaan Tohid","Professor of Neurosciences &amp; Psychology,
California Institute of Behavioral Sciences &amp; Psychology, Neuro-Cal Institute, Consultant Neuroscientist (CASN), Visiting Neuroscientist, Center for Mind &amp; Brain (UC Davis),
University of California, Davis &amp; UCLA,
USA","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2275",2275,"iMedPub","Journal of Neuropsychiatry","Editorial Board Member","Giuseppe Lanza","Giuseppe Lanza,
Consultant Neurologist and Clinical Researcher,
Department of Neurology,
Oasi Institute for Research on Mental Retardation and Brain Aging,
Italy","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2276",2276,"iMedPub","Journal of Neuropsychiatry","Editorial Board Member","Roopashri Holehonnur","Postdoctoral research Fellow in the Department of Neurology and Neurotherapeutics at University of Texas Southwestern Medical Center, Dallas, Texas, USA.","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2277",2277,"iMedPub","Journal of Neuropsychiatry","Editor","Roger Kurlan","Director,
Movement Disorders Program,
Atlantic Neuroscience Institute,
Overlook Medical Center,
New Jersey,
USA","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2278",2278,"iMedPub","Journal of Neuropsychiatry","Editor","Masaya Tohyama","President, Osaka Prefectural Hospital Organization, Graduate School of Medicine, Osaka University, Japan","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2279",2279,"iMedPub","Journal of Neuropsychiatry","Editor","Pasquale Calabrese","Head of the Neuropsychology and Behavioral Neurology Unit, University of Basel, Division of Molecular and Cognitive Neuroscience, Switzerland","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2280",2280,"iMedPub","Journal of Neuropsychiatry","Editor","Zhao Xin","Director, Behavior Rehabilitation Training Research Institute, Department of Psychology, Northwest Normal University, China","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2281",2281,"iMedPub","Journal of Neuropsychiatry","Editor","Vijay K Varadan","Professor of Electrical Engineering and Biomedical Engineering, University of Arkansas and
Professor of Neurosurgery, Hershey Medical Center, Pennsylvania State University.","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2282",2282,"iMedPub","Journal of Neuropsychiatry","Editor","Kuo-Sheng Hung ","professor, Department of Neurosurgery, Taipei Medical University - Wan Fang Medical Center, Taiwan.
","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2283",2283,"iMedPub","Journal of Neuropsychiatry","Editor","Pratyush Rai","Departmnet of Biological and Agricultural Engineering, Department of Electrical Engineering, University of Arkansas, USA.","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2284",2284,"iMedPub","Journal of Neuropsychiatry","Editor","Jaime Fandino-Franky","Neurosurgeon, Karolinska Institute- Karolinska University, Stockholm, Sweden","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2285",2285,"iMedPub","Journal of Neuropsychiatry","Editor","Mirko Diksic","Professor Emeritus, Department of Neurology and Neurosurgery, McGill University, Canada","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2286",2286,"iMedPub","Journal of Neuropsychiatry","Editor","Lan Xiong","Assistant Professor, Department of Psychiatry, University of Montreal, Canada","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2287",2287,"iMedPub","Journal of Neuropsychiatry","Editor","John Grandy","Physician, North Country Urgent Care, Watertown, New York, USA","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2288",2288,"iMedPub","Journal of Neuropsychiatry","Editor","Lakshmi Rajagopal","Professor, Department of Psychiatry &amp; Behavioral Science, Northwestern University, Feinberg School of Medicine, USA","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2289",2289,"iMedPub","Journal of Neuropsychiatry","Editor","Mehmet Ak","Associate Professor, Department of Psychiatry, Meram Faculty of Medicine, Necmettin Erbakan University, Konya, Turkey","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2290",2290,"iMedPub","Journal of Neuropsychiatry","Editor","Abdullah Bolu","Department of Psychiatry and Mental Health, Gulhane Military Medical Academy, Hacettepe University, Ankara, Turkey","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2291",2291,"iMedPub","Journal of Neuropsychiatry","Editor","Terry Lichtor","Clinical Professor,Department of Surgery,New York Institute of Technology, Arkansas State University.","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2292",2292,"iMedPub","Journal of Neuropsychiatry","Editor","Tang Wai Kwong","Honoary Consultant, Department of Psychiatry, Shatin Hospital, Hong Kong","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2293",2293,"iMedPub","Journal of Neuropsychiatry","Editor","Sahar Mohamed Kamal shams El Dine","Professor, Basic and Clinical Pharmacology, Faculty of Medicine, Ain Shams University, Cairo, Egypt","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2294",2294,"iMedPub","Journal of Neuropsychiatry","Editor","Ganaie Showkat Ahmad","Rehabilitation Psychologist,
SEND Coordinator &amp; Counselor,
New Indian Model School,
Dubai","https://neuropsychiatry.imedpub.com/editors.php","2021-05-19"
"2295",2295,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Asma Abdul-Hamid Ashmawy Al-Galfy","Associate Professor, College of Nursing, University of Dammam, Saudi Arabia","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2296",2296,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Awatef El-Sayed Ahmed El-Sayed","Associate professor, College of nursing, Dammam university, Saudi Arabia","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2297",2297,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Payal Mittal","Post-doctoral Fellow, UConn Health School of Medicine, USA","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2298",2298,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Amrendra Kumar Ajay","Postdoctoral Fellow, Harvard Medical School, USA","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2299",2299,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Alireza Heidari","Professor, California South University, USA","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2300",2300,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Shadia Abou Alazm Abou Arab","Professor,Nursing College Coordinator, University of Dammam, Saudi Arabia","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2301",2301,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Evgeny Yumatov","Professor, P.K Anokhin Research Institute of Normal Physiology, National Research University, Russia","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2302",2302,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Eshtiaq Abdulaziz Al-Faraj","Assistant Professor, Nursing Education, College of Nursing, University of Dammam, Saudi Arabia","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2303",2303,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Shereen Tang Suet Ping","Clinician, Universiti Kebangsaan Malaysia Medical Centre, Malaysia","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2304",2304,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Eman Rashad Ahmad","Assistant Professor, University of Dammam, Saudi Arabia","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2305",2305,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Alexander Birbrair","Professor, Federal University of Minas Gerais, Belo Horizonte, Brazil","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2306",2306,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr.Maha Mohammed Al-Madani","Assistant Professor, College of Nursing, University of Dammam, Saudi Arabia","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2307",2307,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Kelly P Coca","Professor, Department of Nursing in Womens Paulista School of Nursing Health, Brazil","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2308",2308,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr Suraj Wasudeo Nagre","Associate Professor, Grant Medical College, Mumbai, India","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2309",2309,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Hanan Elzeblawy Hassan","Professor, Beni Suef University, Egypt","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2310",2310,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr. Abdel Aziz Mousa Thabet","Emeritus Professor, Al Quds University, Palestine","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2311",2311,"iMedPub","Journal of Nursing and Health Studies","Editorial Board Member","Dr Sachin Raval","Deputy Manager, Pharmacy-Apollo Hospitals international limited, India","https://www.imedpub.com/nursing-and-health-studies/editors.php","2021-05-19"
"2312",2312,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr. Dilip Ghosh","Director at Nutriconnect, Managing Director, Food Nutrition Partner, Sydney, Australia","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2313",2313,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr. Shiming Li","Department of Food Science, Rutgers University, New Brunswick, New Jersey, USA","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2314",2314,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr. Paolo Rapisarda","Direttore presso CREA-Centro di Ricerca Olivicoltura, Frutticoltura e Agrumicoltura e le colture mediterranee (ACM), Italy","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2315",2315,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr. Daniel Alberto Jacobo-Velazquez","Department of Biotechnology and Food Engineering, School of Engineering and Science, Mexico","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2316",2316,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr. Pietro Scicchitano","Cardiovascular Diseases Section, Department of Emergency and Organ Transplantation (DETO), University of Bari, Bari, Italy","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2317",2317,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr. Leandro Camargo Neves","Sectoral Board of Fruits of the Roraima State/CASF-RR, Brazil","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2318",2318,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr. Sahnur IRMAK","Olive Research Institute
Food Technology Department
Ãœniversite cad.No:43
Bornova,TURKEY","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2319",2319,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr. Adil Gani","Assistant Professor, Department of Food Science &amp; Technology, University of Kashmir, India","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2320",2320,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","Dr Anil Panghal","Associate professor, Lovely Professional University, India","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2321",2321,"iMedPub","Journal of Nutraceuticals and Food Science","Editorial Board Member","M. Atif Raza Cheema","Dr. Panjwani Center for Molecular Medicine and Drug Research (PCMD),
University of Karachi,
Pakistan","https://nutraceuticals.imedpub.com/editors.php","2021-05-19"
"2322",2322,"iMedPub","Journal of Translational Neurosciences","Editor-in-Chief","Dr. Francine M. Benes","Director Emeritus, Harvard Brain Tissue Resource Center, McLean Hospital
William P. and Henry B. Test Professor of Psychiatry/Neuroscience,
Harvard Medical School, United States.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2323",2323,"iMedPub","Journal of Translational Neurosciences","Editor-in-Chief","Dr. Chia-Hsiung Cheng","Assistant Professor, Department of Occupational Therapy
Graduate Institute of Behavioral Sciences, Healthy Aging Research Center Chang Gung University Taoyuan, Taiwan.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2324",2324,"iMedPub","Journal of Translational Neurosciences","Editor-in-Chief","Dr. Giuseppe Giannaccare","Medical Doctor, Ophthalmologist, S.Orsola-Malpighi Teaching Hospital,
University of Bologna, Italy.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2325",2325,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Gang Chen","Department Anesthesiology, Duke university school of medicine, United States.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2326",2326,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Huangui Xiong","Assistant Professor, University of Nebraska Medical Center, Center for Neurovirology and Neurodegenerative Disorders,USA.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2327",2327,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Kun Ping Lu","Harvard Medical School
Chief, Division of Translational Therapeutics, Department of Medicine, Director of Translational Therapeutics, Cancer Research Institute, United States.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2328",2328,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Zhen-Zhong Xu","Assistant Professor of Anesthesiology, Department of Anesthesiology
Duke University Medical Center, United States.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2329",2329,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Giuseppe Scalabrino","Department of Biomedical Sciences for Health, University of Milan, Italy.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2330",2330,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Mujeeb Shad","Associate Professor, Department of Neuroscience, Oregon Health &amp; Science University, Portland, United States.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2331",2331,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Rajendra D. Badgaiyan","Dr. Rajendra D. Badgaiyan, MD
Chairman of the Department of Psychiatry and Behavioral Sciences
Richmond University Medical Center
New York, USA.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2332",2332,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Amit Kumar","Post-doctoral Fellow, Burke Medical Research Institute, Weill Medical College of Cornell University, USA.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2333",2333,"iMedPub","Journal of Translational Neurosciences","Editor","Radu Mutihac","Chair of the Medical Physics, University of Bucharest, Bucharest-Mgurele, Romania.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2334",2334,"iMedPub","Journal of Translational Neurosciences","Editor","Luis Alberto Casado Aranda","Associate Professor,
Department of Marketing and PhD in Consumer Neuroscience,
University of Granada,
Spain.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2335",2335,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. AndrÃ©s Molero Chamizo","Department of Psychology,.Universidad de Huelva, Spain.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2336",2336,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Gui-Hai Chen","Department of Neurology, the Affiliated Chaohu Hospital of Anhui Medical University, Chaohu, Hefei, China.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2337",2337,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Hang Zhang","Researcher in Paul C. Lauterbur Research Centers for Biomedical Imaging, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Center for Cognition and Brain Disorders and the Affiliated Hospital, Hangzhou Normal University, Hangzhou, China.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2338",2338,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Mamata Mishra","Senior Research Scientist
Skin Regeneration &amp; Stem Cell Therapy Laboratory
National Burns Centre
Airoli, Navi Mumbai-400708, India.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2339",2339,"iMedPub","Journal of Translational Neurosciences","Editor","Jes Paul","Research Scientist, Albany medical centre in the department of cardiovascular sciences, Ph.D. SCHOLAR in Neurology &amp; Molecular Cell Biology, MBBS, USA.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2340",2340,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. R. Vijayalakshmi","Associate Professor, Department of Applied Mathematics and Computational Sciences, PSG College of Technology, Coimbatore, India.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2341",2341,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Haya Mohammad Abdulaziz Alaskar","Assistant Professor in the College of Computer Engineering and Science, Saudi Arabia.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2342",2342,"iMedPub","Journal of Translational Neurosciences","Editor","Dr. Keerrikkattil P. Joy","Retired professor and former Head, Department of Zoology, Banaras Hindu University, Varanasi, India.","https://translational-neuroscience.imedpub.com/editors.php","2021-05-19"
"2343",2343,"iMedPub","Nano Research & Applications","editorial board","Dr. Tapasi Sen","Scientist D (Assistant Professor), Institute of Nano Science andTechnology, Sector-81, Mohali, Punjab-140306, India.","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2344",2344,"iMedPub","Nano Research & Applications","Editor","Said Salah Eldin Hamed Elnashaie","Professor, Chemical and Environmental Engineering Department, University Putra Malaysia","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2345",2345,"iMedPub","Nano Research & Applications","Executive Editor","Farhat Afrin","Department of Medical Laboratories Technology, Taibah University","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2346",2346,"iMedPub","Nano Research & Applications","","Dr. Rajesh R Wakaskar","Formulation Scientist at Insys Therapeutics","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2347",2347,"iMedPub","Nano Research & Applications","","Dr. Farid MENAA","Executive Director, Fluorotronics &amp; Co, USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2348",2348,"iMedPub","Nano Research & Applications","","Dr. John X Wang","Executive Director of the National Institute of Quantum Computing (NIQC), USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2349",2349,"iMedPub","Nano Research & Applications","","Dr. Raoul R. Nigmatullin","Professor of the Radio-electronics and Informative-Measurements
Technics Department, Russian Federation","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2350",2350,"iMedPub","Nano Research & Applications","","Dr. Donna Wang","Professor of Medicine, Michigan State University, USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2351",2351,"iMedPub","Nano Research & Applications","","Dr. Anand Gadre","Director, Stem Cell Instrumentation and Nanofabrication Facility, University of California, USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2352",2352,"iMedPub","Nano Research & Applications","","Dr. Gregory Paul Nichols","Program Manager for Nanotechnology Studies at ORAU, USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2353",2353,"iMedPub","Nano Research & Applications","","Dr S. Joseph Antony","Associate Professor, University of Leeds, UK","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2354",2354,"iMedPub","Nano Research & Applications","","Dr. Aman Ullah","Assistant Professor, University of Alberta, Edmonton, AB, Canada","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2355",2355,"iMedPub","Nano Research & Applications","","Dr. Wafaa A. Khalil","Associate Professor of Endodontics, Department of Endodontics, Faculty of Dentistry, King Abdulaziz University, Saudi Arabia","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2356",2356,"iMedPub","Nano Research & Applications","","Dr. Vijay Kumar Thakur","School of Mechanical and Materials Engineering, Washington State University, USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2357",2357,"iMedPub","Nano Research & Applications","","Dr. A. Heidari","Faculty of Chemistry, California South University (CSU), Irvine, California, USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2358",2358,"iMedPub","Nano Research & Applications","","Dr. Guo-Xing Miao","Institute for Quantum Computing (IQC) &amp; Department of Electrical and Computer Engineering (E&amp;CE), University of Waterloo, Canada","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2359",2359,"iMedPub","Nano Research & Applications","","Dr. Eng. Basma EL ZEIN","Scientist, Solar Pioneer 2015, Saudi Arabia","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2360",2360,"iMedPub","Nano Research & Applications","","Dr. Hari Shanker Sharma","Department of Surgical Sciences, Uppsala University, Sweden","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2361",2361,"iMedPub","Nano Research & Applications","","Dr. Abdulhamid Chaikh","Department of Radiation Oncology and Medical physics, Grenoble University Hospital, France","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2362",2362,"iMedPub","Nano Research & Applications","","Dr. Elham S. Baeissa","Associate Professor, Department of Inorganic chemistry, King Abdulaziz University, Saudi Arabia","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2363",2363,"iMedPub","Nano Research & Applications","","Dr. Mohamed Khayet","Chair of the Department Applied Physics I, University Complutense of Madrid, Madrid, Spain","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2364",2364,"iMedPub","Nano Research & Applications","","Dr. Devika Chithrani","Assistant professor, Department of Physics, Ryerson University, Canada","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2365",2365,"iMedPub","Nano Research & Applications","","Dr. Masoud Sajjadian","Teaching Assistant at Liverpool School of Architecture, UK","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2366",2366,"iMedPub","Nano Research & Applications","","Dr. Shiquan Tao","West Texas A&amp;M University, USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2367",2367,"iMedPub","Nano Research & Applications","","Dr. Xue Li","Postdoctoral Fellow, Johns Hopkins University, Baltimore USA","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2368",2368,"iMedPub","Nano Research & Applications","","Dr. Carlos D S Brites","Department of Physics , University of Aveiro, Aveiro, Portugal","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2369",2369,"iMedPub","Nano Research & Applications","","Dr. Brahim AÃ¯ssa","Senior Scientist, Qatar Energy and Environment Research Institute, Qatar","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2370",2370,"iMedPub","Nano Research & Applications","","Dr. Shih-Fu Ou","Assistant professor, National Kaohsiung University of Applied Sciences, Taiwan","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2371",2371,"iMedPub","Nano Research & Applications","","Dr. JoÃ£o Paulo FigueirÃ³ Longo","Departament of Genetics and Morphology, Instituto of Biological Sciences, University of BrasÃ­lia, Federal District, Brazil","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2372",2372,"iMedPub","Nano Research & Applications","","Dr. Yongmei Zheng","Professor, School of Chemistry and Environment, Beihang University, P.R. China","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2373",2373,"iMedPub","Nano Research & Applications","","Dr. Leonardo Barcelos De Paula","Center for Nanotechnology and Tissue Engineer Photobiology and Photomedicine Research Group, Brazil","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2374",2374,"iMedPub","Nano Research & Applications","","Dr. Debesh R. Roy","Assistant Professor, Department of Applied Physics, S V National Institute of Technology, India","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2375",2375,"iMedPub","Nano Research & Applications","","Dr. Hussein Ammar","Professor, Department of Pharmaceutical Technology, Future University, Egypt","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
"2376",2376,"iMedPub","Nano Research & Applications","","Dr. Jose Carlos Tavares Carvalho","Professor, Federal University of Amapa, Brazil","https://nanotechnology.imedpub.com/editors.php","2021-05-19"
