publisher	journal	role	editor	orcid	affiliation	url	date
Hindawi	Scientifica	Academic Editors	Li Hai Tan	0000-0001-6983-1767	University of Hong Kong, China	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Fong Y. Tsai	NA	University California, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Norbert Wilke	NA	University of Florida, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	James Cauraugh	NA	University of Florida, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Jeanne Charles	NA	Emory University, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Chia-Ling Chen	NA	Chang Gung Memorial Hospital, Taiwan	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Catherine Disselhorst-Klug	NA	Rehabilitation- &amp; Prevention Engineering; RWTH Aachen University, Germany	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Pouran D. Faghri	NA	University of Connecticut, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Jacqueline Hinckley	NA	University of South Florida, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Nam-Jong Paik	0000-0002-5193-8678	Seoul National University, Republic of Korea	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Eva Widerstrom-Noga	0000-0003-0208-3658	University of Miami, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Xenofon Baraliakos	NA	Ruhr-University Bochum, Germany	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Matthijs Janssen	0000-0003-3752-7837	National Academic Research and Collaborations Information System, The Netherlands	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Marije I. Koenders	NA	Radboud University Medical Center, The Netherlands	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	KS Midwood	NA	Kennedy Institute of Rheumatology Division, Faculty of Medicine, NDORMS, Oxford University, 65 Aspenlea Road, Hammersmith, London W6 8LH, United Kingdom	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Ingrid Möller	NA	Instituto Poal de Reumatologia, Spain	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Giuseppe Murdaca	0000-0002-6403-6905	Università degli Studi di Genova, Italy	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Mark Segal	NA	University of Florida, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Susana Zeni	NA	University of Buenos Aires, Argentina	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Gregor Anderluh	NA	National Institute of Chemistry, Slovenia	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	William Bourguet	0000-0002-0643-7719	Centre de Biochimie Structurale, France	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Andreas Bracher	0000-0001-8530-7594	Max-Planck-Institut für Biochemie, Germany	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Senena Corbalan	NA	University of Murcia, Spain	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Edward D. Lowe	0000-0002-1757-0208	University of Oxford, United Kingdom	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Carlos Ramos	0000-0002-7246-9081	Chemistry Institute UNICAMP, Brazil	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Vincent Raussens	0000-0002-7507-1845	Université Libre de Bruxelles, Belgium	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Paul Rösch	NA	Universität Bayreuth, Germany	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Igor F. Tsigelny	0000-0002-7155-8947	University of California, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Wolfgang Freysinger	0000-0002-2833-3224	Medical University of Innsbruck, Austria	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Timothy M. George	NA	Seton Healthcare Family, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Ofer Gofrit	NA	Department of Urology,Pathology3the Hadassah Ein-Kerem Medical Center, The Hebrew University, Jerusalem, Israel. , Israel	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	John Harmon	NA	Johns Hopkins University, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Cosimo Sperti	0000-0002-7869-8715	University of  Padua, Italy	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Conrado Aparicio	0000-0003-2969-6067	University of Minnesota, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Paola Brun	NA	University of Padua, Italy	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Vladimir S. Komlev	0000-0003-2068-7746	Russian Academy of Sciences, Russia	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Sotirios Korossis	NA	Hannover Medical School, Germany	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Xianghong Luan	NA	University of Illinois at Chicago, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Gwendolen Reilly	0000-0003-1456-1071	The University of Sheffield, United Kingdom	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Yang J. Seol	NA	Seoul National University, Republic of Korea	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Vassilios I. Sikavitsas	NA	University of Oklahoma, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Timothy Wick	0000-0001-8922-0939	The University of Alabama at Birmingham, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Antoni Camins	0000-0002-1229-5956	Universitat de Barcelona, Spain	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Daniel Jun	NA	University of Defence, Czech Republic	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Marcos Toyama	0000-0001-6836-3084	Universidade Estadual Paulista (Unesp), Brazil	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Franky Chan	NA	The Chinese University of Hong Kong, Hong Kong	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Joanne Edwards	0000-0002-7192-6906	University of Glasgow, United Kingdom	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Oliver W. Hakenberg	NA	Universität Rostock, Germany	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Grant Izmirlian	NA	National Institutes of Health, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Jian-Hua Luo	NA	University of Pittsburgh, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Stanley Bruce Malkowicz	NA	University of Pennsylvania, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Maria C. Meriggiola	NA	Università di Bologna, Italy	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Christian Seitz	NA	Medical University of Vienna, Austria	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	John S. Wiener	0000-0003-4764-8018	Duke University Medical Center, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Francesco Cipollone	NA	Università degli Studi G. d'Annunzio, Italy	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Edgar Jaimes	NA	University of Alabama at Birmingham, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Ismail Laher	0000-0002-3917-4417	University of British Columbia, Canada	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Tzong-Shyuan Lee	0000-0002-9593-4062	National Yang-Ming University, Taiwan	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Samy S. Nitecki	0000-0002-1402-165X	Rambam Health Care Campus, Israel	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Sampath Parthasarathy	0000-0002-5559-4550	Florida Hospital Chair for Cardiovascular Sciences, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Carmen Peralta	NA	IDIBAPS, Spain	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Robert Y. Rhee	NA	University of Pittsburgh Medical Center, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Huaxin Sheng	0000-0002-4325-2940	Duke University Medical Center, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Boris Z. Simkhovich	NA	University of Southern California, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Omaida C. Velazquez	0000-0003-0841-0525	University of Miami, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Brenda M. Alexander	NA	University of Wyoming, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Joseph Bartges	NA	University of Georgia, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Stephen B. Harvey	NA	University of Georgia, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Yvette Johnson	NA	University of Illinois, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Panagiotis Karanis	NA	University of Cologne, Germany	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Osman Kucuk	NA	Erciyes University, Turkey	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Khalid Naeem	NA	Animal Sciences Institute, Pakistan	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Mark G. Papich	NA	North Carolina State University, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Giorgio A. Presicce	NA	Agenzia Regionale per lo Sviluppo e l'Innovazione dell'Agricoltura del Lazio, Italy	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Hirofumi Akari	0000-0003-2166-6015	Kyoto University, Japan	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Mohammed N. Al Ahdal	NA	King Faisal Specialist Hospital and Research Centre, Saudi Arabia	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Silvia Bofill-Mas	0000-0001-8581-7180	University of Barcelona, Spain	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Rodney Colina	NA	Universidad de la Republica, Uruguay	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Peter Delputte	0000-0003-3972-616X	Antwerp University, Belgium	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Raquel Hernandez	0000-0001-5202-1119	North Carolina State University, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Marcelo Lopez-Lastra	NA	Pontificia Universidad Católica de Chile, Chile	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Fernando Rosado Spilki	0000-0001-5804-7045	Universidade Feevale, Brazil	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Laurent Verkoczy	NA	Duke University, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Koichi Watashi	0000-0002-4536-9966	National Institute of Infectious Diseases, Japan	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Sarah T. Boysen	NA	The Ohio State University, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Rony Geers	NA	Katholieke Universiteit Leuven, Belgium	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Gerlind Lehmann	0000-0003-0559-6002	Humboldt University Berlin, Germany	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	James Menzies	NA	The University of Adelaide, Australia	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Daniel Ramp	NA	University of Technology, Sydney, Australia	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Zeljko Tomanovic	0000-0002-5063-5480	University of Belgrade, Serbia	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Pablo M. Vergara	0000-0002-0024-1678	Universidad de Santiago de Chile, Chile	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Scientifica	Academic Editors	Jennifer Vonk	0000-0002-4362-5989	Oakland University, USA	https://www.hindawi.com/journals/scientifica/editors/	2022-01-04
Hindawi	Security and Communication Networks	Chief Editor	Roberto Di Pietro	NA	Hamad bin Khalifa University, Qatar	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Associate Editors	Jiankun Hu	0000-0003-0230-1432	University of New South Wales Canberra, Australia	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Associate Editors	Emanuele Maiorana	0000-0002-4312-6434	University of Roma Tre, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Associate Editors	David Megias	0000-0002-0507-7731	Universitat Oberta de Catalunya, Spain	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Associate Editors	Zheng Yan	0000-0002-9697-2108	Xidian University, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Ahmed A. Abd El-Latif	NA	Menoufia University, Egypt	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Mamoun Alazab	0000-0002-1928-3704	Charles Darwin University, Australia	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Cristina Alcaraz	NA	University of Malaga, Spain	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Saud Althunibat	NA	Al-Hussein Bin Talal University, Jordan	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Ruhul Amin	NA	DR SPM International Institute of Information Technology, India	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Maria Azees	NA	GMR Institute of Technology, India	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Benjamin Aziz	0000-0001-5089-2025	University of Portsmouth, United Kingdom	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Shahram Babaie	NA	Islamic Azad University, Iran	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Taimur Bakhshi	NA	Center for Security, Communications &amp; Network Research, University of Plymouth, Plymouth, U.K., United Kingdom	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Spiridon Bakiras	NA	Hamad bin Khalifa University, Qatar	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Pablo Garcia Bringas	0000-0003-3594-9534	University of Deusto, Spain	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	William Buchanan	0000-0003-0809-3523	Edinburgh Napier University, United Kingdom	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Michele Bugliesi	0000-0002-4567-3351	Università Ca' Foscari Venezia, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Jin Wook Byun	0000-0002-5450-3207	Pyeongtaek Univ, Republic of Korea	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Pino Caballero-Gil	0000-0002-0859-5876	University of La Laguna, Spain	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Bruno Carpentieri	0000-0003-1960-9986	Università di Salerno, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Luigi Catuogno	0000-0002-6315-4221	University of Salerno, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Shehzad Ashraf Chaudhry	NA	Istanbul Gelisim University, Turkey	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Ricardo Chaves	0000-0002-4450-3983	INESC-ID, IST, Universidade de Lisboa, Portugal	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Chien-Ming Chen	0000-0002-6502-472X	Shandong University of Science and Technology, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Chin-Ling Chen	NA	Chaoyang University of Technology, Taiwan	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Rongmao Chen	0000-0002-5113-387X	National University of Defense Technology, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Tom Chen	NA	City University London, United Kingdom	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Kim-Kwang Raymond Choo	NA	University of Texas at San Antonio, USA	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Stelvio Cimato	0000-0003-1737-6218	University of Milan, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Vincenzo Conti	0000-0002-8718-111X	University of Enna Kore, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Luigi Coppolino	0000-0002-2079-8713	"University of Naples ""Parthenope"", Italy"	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Salvatore D'Antonio	0000-0001-9327-0138	"University of Naples ""Parthenope"", Italy"	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Paolo D'Arco	NA	University of Salerno, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Juhriyansyah Dalle	NA	Universitas Lambung Mangkurat, Indonesia	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Alfredo De Santis	NA	Università degli Studi di Salerno, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Angel M. Del Rey	0000-0002-3600-0016	Universidad de Salamanca, Spain	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Roberto Di Pietro	NA	Nokia - FR, France	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Jesús Díaz-Verdejo	0000-0002-8424-9932	University of Granada , Spain	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Wenxiu Ding	NA	Xidian University, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Nicola Dragoni	0000-0001-9575-2990	Technical University of Denmark, Denmark	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	"Wei	 Feng	"	NA	Xi'an Jiaotong University, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Carmen Fernandez-Gago	NA	University of Màlaga, Spain	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Mohamed Amine Ferrag	0000-0002-0632-3172	Guelma University, Algeria	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	AnMin Fu	NA	Nanjing University of Science and Technology, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Clemente Galdi	0000-0002-2988-700X	Università di Salerno, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Dimitrios Geneiatakis	0000-0001-6455-502X	Joint Research Centre, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Bela Genge	0000-0003-1390-479X	University of Medicine, Pharmacy, Sciences and Technology of Targu Mures, Romania	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Anwar Ghani	0000-0001-7474-0405	International Islamic University, Pakistan	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Debasis Giri	NA	Haldia Institute of Technology, India	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Muhammad A. Gondal	0000-0003-1688-0113	Dhofar University, Oman	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Prosanta Gope	NA	University of Sheffield, United Kingdom	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Francesco Gringoli	0000-0003-2621-582X	Università degli Studi di Brescia, Italy	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Biao Han	NA	National University of Defense Technology, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Jinguang Han	0000-0002-4993-9452	Queen's University Belfast, United Kingdom	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Weili Han	0000-0001-8663-436X	Fudan University, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Khizar Hayat	NA	University of Nizwa, College of Arts and Sciences, Nizwa, Oman	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Ray Huang	NA	National Cheng Kung University, Taiwan	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Iqtadar Hussain	0000-0002-2500-4214	Qatar University, Doha, Qatar	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Azeem Irshad	NA	International Islamic University, Pakistan	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	M.A. Jabbar	NA	Aurora's Engineering College, Hyderabad, India	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Mian Ahmad Jan	NA	Abdul Wali Khan University, Pakistan	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Rutvij Jhaveri	NA	Pandit Deendayal Energy University, India	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Tao Jiang	0000-0002-8482-1046	Huazhong University of Science and Technology, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	"Xuyang	 Jing	"	NA	Qingdao University, China	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Minho Jo	0000-0001-7311-6459	Korea University, Republic of Korea	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Bruce M. Kapron	0000-0002-3295-543X	University of Victoria, Canada	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Arijit Karati	NA	National Sun Yat-sen University, Taiwan	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Marimuthu Karuppiah	NA	SRM Institute of Science and Technology, India	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	ASM Kayes	0000-0002-2421-2214	La Trobe University, Australia	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Fazlullah Khan	NA	Abdul Wali Khan University Mardan, Pakistan	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Habib Ullah Khan	0000-0001-8373-2781	Qatar University, Qatar	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Kiseon Kim	0000-0001-9166-0570	Gwangju Institute of Science and Technology, Republic of Korea	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Sanjeev Kumar	NA	The University of Texas Rio Grande Valley, USA	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Maryline Laurent	NA	Institut Mines-Télécom, France	https://www.hindawi.com/journals/scn/editors/	2022-01-04
Hindawi	Security and Communication Networks	Academic Editors	Huaizhi Li	NA	University of Kentucky, USA	https://www.hindawi.com/journals/scn/editors/	2022-01-04
